Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Single-qubit Pauli-X error ,CNOT error ,Gate time (ns)
Q37,72.23,123.66,5.187,-0.32708,1.340e-2,0.0184,0.0084,3900.444,3.093e-4,3.093e-4,3.093e-4,37_36:7.464e-3; 37_26:7.701e-3,37_36:341.333; 37_26:334.222
Q38,75.69,87.49,5.096,-0.32884,2.680e-2,0.0386,0.015,3900.444,3.135e-4,3.135e-4,3.135e-4,38_41:7.397e-3; 38_27:1.576e-2,38_41:341.333; 38_27:298.667
Q39,67.13,98.91,5.307,-0.32551,1.620e-2,0.023,0.0094,3900.444,2.836e-4,2.836e-4,2.836e-4,39_31:7.922e-3; 39_45:1.018e-2,39_31:284.444; 39_45:320
Q40,81.14,54.18,4.93,-0.33095,4.980e-2,0.0666,0.033,3900.444,3.585e-4,3.585e-4,3.585e-4,40_35:1.978e-2; 40_49:1.568e-2,40_35:440.889; 40_49:412.444
Q41,81.92,128.09,5.214,-0.32666,1.240e-2,0.0198,0.005,3900.444,3.246e-4,3.246e-4,3.246e-4,41_38:7.397e-3; 41_42:7.777e-3,41_38:305.778; 41_42:320
Q42,50.91,97.73,5.286,-0.32599,2.630e-2,0.036,0.0166,3900.444,3.426e-4,3.426e-4,3.426e-4,42_43:1.444e-2; 42_41:7.777e-3,42_43:519.111; 42_41:284.444
Q43,61.61,80.8,5.113,-0.32819,1.380e-2,0.0186,0.009,3900.444,2.748e-4,2.748e-4,2.748e-4,43_42:1.444e-2; 43_44:7.764e-3; 43_52:8.031e-3,43_42:554.667; 43_44:376.889; 43_52:263.111
Q44,79.08,38.64,5.291,-0.32607,3.010e-2,0.0486,0.0116,3900.444,3.223e-4,3.223e-4,3.223e-4,44_43:7.764e-3; 44_45:6.516e-3,44_43:341.333; 44_45:270.222
Q45,70.09,53.18,5.07,-0.32903,1.930e-2,0.0296,0.009,3900.444,2.836e-4,2.836e-4,2.836e-4,45_44:6.516e-3; 45_39:1.018e-2; 45_46:8.789e-3,45_44:305.778; 45_39:355.556; 45_46:362.667
Q46,62.01,81.74,5.133,-0.32768,1.630e-2,0.0244,0.0082,3900.444,4.037e-4,4.037e-4,4.037e-4,46_47:1.189e-2; 46_45:8.789e-3,46_47:348.444; 46_45:327.111
